UPC,FC,Linked Asin,tt_id,
16000137820,CLE3,"['B07B9ZZ6NG', 'B07D3FFTDQ']",559665156,39:40.0
16000485877,STL8,"['B00GAQ2LVO', 'B07GB61TH2']",559667830,39:42.5
16000486966,CHA1,"['B00KRFKEZY', 'B07CSSH68F']",559675627,25:02.0
13000993906,DTW1,"['B00NPPCJ2O', 'B071L9QXPK']",559672583,25:04.2
8.5177E+11,ATL2,"['B00J074W7Q', 'B013Q21NKE']",Exception,18:51.3
16000480377,MKE2,"['B00LUK3H90', 'B01KX6089S']",559684338,18:54.3
16000492349,PHX6,"['B06XD82MLM', 'B07NL6FBGH']",559682085,18:57.1
38000172755,DAL3,"['B077YQZLS5', 'B07GX2B28X']",559683236,18:59.2
21000064991,BHM1,"['B06XXJGVB9', 'B06ZXWBPFZ']",559683237,19:01.3
16000480377,CLE2,"['B00LUK3H90', 'B01KX6089S']",559684831,19:03.3
16000480377,PCW1,"['B00LUK3H90', 'B01KX6089S']",Exception,19:03.4
38000172755,CMH4,"['B077YQZLS5', 'B07GX2B28X']",559684245,19:06.3
13562289721,TUS2,"['B076HMT49K', 'B07CSSPRFG']",559684246,19:09.0
19800703318,SLC1,"['B01GFLZ14C', 'B074NB5VGH']",559681187,19:11.3
8.08124E+11,MKE1,"['B003BVI76O', 'B00T7P9S98']",559684341,19:13.5
16000480377,PHX6,"['B00LUK3H90', 'B01KX6089S']",559682760,19:15.6
16000485877,MKE2,"['B00GAQ2LVO', 'B07GB61TH2']",559681592,19:17.7
8.5177E+11,CMH4,"['B00J074W7Q', 'B013Q21NKE']",559684631,19:20.5
8.5177E+11,BOI2,"['B00J074W7Q', 'B013Q21NKE']",559683557,19:23.2
13562468072,BHM1,"['B076HMT4PN', 'B07NL7BNMS']",559686209,19:25.2
38000172755,JAX2,"['B077YQZLS5', 'B07GX2B28X']",559682171,19:27.9
31600153100,IND1,"['B000P8BC90', 'B010NPG1BS']",559685135,19:29.9
25500203614,CHA1,"['B00R92VMT0', 'B01ERBW6O0']",559683845,19:32.1
16000468139,IND1,"['B0199RG9SQ', 'B01BK9O3D4']",559680790,19:34.2
30100108023,CLE2,"['B00WBGIS32', 'B010NE4U08']",559681695,19:36.3
13562468072,MCO1,"['B076HMT4PN', 'B07NL7BNMS']",559681881,19:39.1
21000064991,OKC1,"['B06XXJGVB9', 'B06ZXWBPFZ']",559681391,19:41.8
16000458918,GRR1,"['B00GABNR3A', 'B00Z9YTMZQ']",559683848,19:44.0
30100108023,STL8,"['B00WBGIS32', 'B010NE4U08']",559684730,19:46.0
8.08124E+11,CHA1,"['B00R1OZZUI', 'B00T7PGYIG']",559681982,19:48.8
16000468139,LGB3,"['B0199RG9SQ', 'B01BK9O3D4']",559684430,19:51.0
87684001127,RDU1,"['B000RULVME', 'B01G6I6PM6']",559686211,19:53.0
17082877741,EWR4,"['B00VB1XY1O', 'B017DF6II2']",559682173,19:56.0
31600153100,LAS7,"['B000P8BC90', 'B010NPG1BS']",559685538,19:58.1
30100108023,PHX6,"['B00WBGIS32', 'B010NE4U08']",559680792,20:00.2
13562493982,CLE2,"['B076HST3SH', 'B07CSQTZ95']",559685138,20:02.2
8.5177E+11,GYR1,"['B00J074W7Q', 'B013Q21NKE']",Exception,20:02.2
19800702083,LGB3,"['B01GFLZ4DU', 'B06X9SVCTS']",559682762,20:04.4
19800703318,STL8,"['B01GFLZ14C', 'B074NB5VGH']",559685139,20:06.5
19800703318,PHX6,"['B01GFLZ14C', 'B074NB5VGH']",559680793,20:08.6
19800703318,MDW7,"['B01GFLZ14C', 'B074NB5VGH']",559682852,20:10.6
13562289721,PSP1,"['B076HMT49K', 'B07CSSPRFG']",559681189,20:12.9
16000458918,CMH4,"['B00GABNR3A', 'B00Z9YTMZQ']",559684836,20:15.0
16000485877,RDU1,"['B00GAQ2LVO', 'B07GB61TH2']",559681190,20:17.2
